Medl.nr.;Navn;E-mail;Medlemskab;Indmeldelsesdato;Betalingskanal;Betalingsfrekvens;Senest fejlede betaling;Status;subscriptionId;Girokort sendt
13;Henrik Jensen;henrik_jensen94@dkmail.dk;Standard;01-01-2014;MobilePay;Månedlig;23-03-2025;Failed;7ac43b7e-5df4-41a5-8a3e-b71206c9b0c7  ;
14;Jens Jensen;jens_jensen89@dkmail.dk;Husstand;01-01-2014;Dankort/VISA;Årlig;28-03-2025;Failed;12c4ff58-6fbe-4f13-91e4-5d4293b2ab4d  ;
15;Jens Hansen;jens_hansen51@dkmail.dk;Husstand;06-12-2014;Girokort;Månedlig;30-01-2025;Ingen betaling;15;1. januar 2025
16;Mette Nielsen;mette_nielsen39@dkmail.dk;Nedsat;20-01-2013;Betalingsservice;Årlig;04-01-2025;Betaling afvist;16;
17;Jens Nielsen;jens_nielsen48@dkmail.dk;Standard;23-01-2014;Betalingsservice;Årlig;31-01-2025;Betaling afvist;17;
18;Anders Hansen;anders_hansen29@dkmail.dk;Standard;18-03-2014;Dankort/VISA;Månedlig;01-03-2025;Rejected;a1b0c9d7-442e-43aa-9e6f-e451f1b780a3  ;
19;Sofie Andersen;sofie_andersen21@dkmail.dk;Standard;07-05-2018;Dankort/VISA;Årlig;19-03-2025;Failed;f3d7e4a0-21a7-4e9c-8fce-4d8ef6b710d4  ;
20;Karen Pedersen;karen_pedersen93@dkmail.dk;Standard;10-05-2018;MasterCard;Månedlig;05-03-2025;Failed;12c4ff58-6fbe-4f13-91e4-5d4293b2ab4d  ;
21;Pernille Nielsen;pernille_nielsen33@dkmail.dk;Standard;06-07-2021;Betalingsservice;Årlig;08-04-2025;Aftale lukket;21;
22;Jens Larsen;jens_larsen18@dkmail.dk;Standard;10-10-2018;MobilePay;Kvartalsvis;20-02-2025;Rejected;3b49ff01-8d2c-43c4-927e-9fdf2536fa9a  ;
23;Anders Christensen;anders_christensen54@dkmail.dk;Standard;03-06-2018;Dankort/VISA;Månedlig;08-04-2025;Rejected;0d8b7c2f-2af3-4b67-9c14-cc9a2df86521  ;
24;Anders Nielsen;anders_nielsen69@dkmail.dk;Standard;10-06-2018;Dankort/VISA;Månedlig;29-01-2025;Failed;d6a3f4be-98e1-4973-a812-4e6cb81643e0  ;
25;Jens Larsen;jens_larsen94@dkmail.dk;Standard;20-01-2014;Girokort;Månedlig;07-01-2025;Ingen betaling;25;1. januar 2025
26;Mette Hansen;mette_hansen72@dkmail.dk;Standard;18-10-2020;MobilePay;Månedlig;27-04-2025;Rejected;4fbd2a58-91f2-44a7-b282-7ea3cbf59bc1  ;
27;Mette Pedersen;mette_pedersen71@dkmail.dk;Standard;08-10-2015;MobilePay;Årlig;26-03-2025;Rejected;c8479df1-29fc-4524-bc88-e0fbd75546dc  ;
28;Mette Pedersen;mette_pedersen14@dkmail.dk;Standard;08-10-2015;Girokort;Kvartalsvis;17-02-2025;Ingen betaling;28;1. februar 2025
29;Mette Madsen;mette_madsen51@dkmail.dk;Standard;17-06-2016;MobilePay;Årlig;13-01-2025;Rejected;92f51ac0-bb10-4604-9a4e-4ec6ceef71e1  ;
30;Lene Madsen;lene_madsen14@dkmail.dk;Standard;04-09-2016;Kontant;Årlig;23-03-2025;Ingen betaling;;
31;Martin Jensen;martin_jensen90@dkmail.dk;Standard;03-12-2016;Dankort/VISA;Årlig;08-04-2025;Rejected;7ac43b7e-5df4-41a5-8a3e-b71206c9b0c7  ;
32;Mette Jensen;mette_jensen66@dkmail.dk;Standard;17-01-2017;MasterCard;Kvartalsvis;17-02-2025;Failed;a1b0c9d7-442e-43aa-9e6f-e451f1b780a3  ;
33;Karen Hansen;karen_hansen83@dkmail.dk;Standard;21-01-2019;Betalingsservice;Månedlig;22-01-2025;Aftale lukket;33;
34;Henrik Christensen;henrik_christensen56@dkmail.dk;Standard;02-08-2017;Kontant;Månedlig;16-03-2025;Ingen betaling;;
35;Martin Hansen;martin_hansen38@dkmail.dk;Standard;11-08-2017;Dankort/VISA;Kvartalsvis;23-01-2025;Failed;3b49ff01-8d2c-43c4-927e-9fdf2536fa9a  ;
36;Mette Larsen;mette_larsen72@dkmail.dk;Nedsat;17-08-2017;Dankort/VISA;Kvartalsvis;26-03-2025;Failed;4fbd2a58-91f2-44a7-b282-7ea3cbf59bc1  ;
37;Anders Christensen;anders_christensen32@dkmail.dk;Standard;21-01-2019;MobilePay;Månedlig;09-04-2025;Failed;6e4f0d6e-d055-4e63-9ec9-3b57aa7f3e78  ;
38;Sofie Hansen;sofie_hansen29@dkmail.dk;Standard;13-10-2017;Dankort/VISA;Månedlig;25-01-2025;Failed;c8479df1-29fc-4524-bc88-e0fbd75546dc  ;
39;Thomas Christensen;thomas_christensen64@dkmail.dk;Standard;21-10-2017;Girokort;Årlig;07-03-2025;Ingen betaling;39;1. marts 2025
40;Anders Christensen;anders_christensen14@dkmail.dk;Nedsat;04-11-2017;Girokort;Månedlig;03-04-2025;Ingen betaling;40;1. april 2025
41;Henrik Pedersen;henrik_pedersen34@dkmail.dk;Standard;07-11-2017;Girokort;Kvartalsvis;05-02-2025;Ingen betaling;41;1. februar 2025
42;Anders Andersen;anders_andersen22@dkmail.dk;Nedsat;08-02-2024;Girokort;Kvartalsvis;16-02-2025;Ingen betaling;42;1. februar 2025
43;Anders Nielsen;anders_nielsen44@dkmail.dk;Husstand;04-12-2017;Kontant;Kvartalsvis;02-04-2025;Ingen betaling;;
44;Mette Pedersen;mette_pedersen83@dkmail.dk;Standard;07-12-2017;Girokort;Månedlig;26-03-2025;Ingen betaling;44;1. marts 2025
45;Thomas Jensen;thomas_jensen99@dkmail.dk;Husstand;11-12-2017;Dankort/VISA;Kvartalsvis;09-03-2025;Rejected;92f51ac0-bb10-4604-9a4e-4ec6ceef71e1  ;
46;Martin Larsen;martin_larsen77@dkmail.dk;Standard;26-12-2022;Betalingsservice;Årlig;15-03-2025;Aftale lukket;46;
47;Lene Jensen;lene_jensen60@dkmail.dk;Husstand;29-12-2017;MobilePay;Månedlig;06-04-2025;Rejected;531bbdc1-ec77-4a15-b253-9c17f0e6bd13  ;
48;Sofie Andersen;sofie_andersen79@dkmail.dk;Standard;29-12-2017;MasterCard;Månedlig;26-04-2025;Failed;f3d7e4a0-21a7-4e9c-8fce-4d8ef6b710d4  ;
49;Karen Nielsen;karen_nielsen20@dkmail.dk;Husstand;20-02-2021;Betalingsservice;Kvartalsvis;04-03-2025;Betaling afvist;49;
50;Martin Christensen;martin_christensen90@dkmail.dk;Husstand;28-12-2018;Betalingsservice;Månedlig;01-01-2025;Aftale lukket;50;
51;Henrik Hansen;henrik_hansen58@dkmail.dk;Standard;24-01-2019;Betalingsservice;Månedlig;08-02-2025;Betaling afvist;51;
52;Pernille Hansen;pernille_hansen11@dkmail.dk;Standard;02-01-2018;Kontant;Månedlig;16-02-2025;Ingen betaling;;
53;Thomas Hansen;thomas_hansen65@dkmail.dk;Standard;15-01-2018;MasterCard;Kvartalsvis;18-02-2025;Rejected;0d8b7c2f-2af3-4b67-9c14-cc9a2df86521  ;
54;Sofie Pedersen;sofie_pedersen83@dkmail.dk;Standard;27-01-2018;MobilePay;Kvartalsvis;22-02-2025;Rejected;a9b203e7-b04f-4c43-981a-06cb7715a39f  ;
55;Lene Nielsen;lene_nielsen24@dkmail.dk;Husstand;31-01-2018;MasterCard;Kvartalsvis;08-04-2025;Failed;d6a3f4be-98e1-4973-a812-4e6cb81643e0  ;
56;Martin Christensen;martin_christensen29@dkmail.dk;Standard;04-02-2018;Dankort/VISA;Årlig;21-01-2025;Failed;6e4f0d6e-d055-4e63-9ec9-3b57aa7f3e78  ;
57;Pernille Jensen;pernille_jensen97@dkmail.dk;Standard;05-01-2020;Kontant;Årlig;15-04-2025;Ingen betaling;;
58;Pernille Pedersen;pernille_pedersen14@dkmail.dk;Standard;08-03-2018;Dankort/VISA;Kvartalsvis;18-01-2025;Failed;531bbdc1-ec77-4a15-b253-9c17f0e6bd13  ;
59;Martin Nielsen;martin_nielsen77@dkmail.dk;Husstand;01-09-2019;Betalingsservice;Månedlig;21-02-2025;Aftale lukket;59;
60;Karen Madsen;karen_madsen82@dkmail.dk;Standard;28-02-2019;MasterCard;Kvartalsvis;20-01-2025;Failed;7ac43b7e-5df4-41a5-8a3e-b71206c9b0c7  ;
61;Lene Christensen;lene_christensen23@dkmail.dk;Standard;18-01-2024;Dankort/VISA;Månedlig;19-04-2025;Failed;a9b203e7-b04f-4c43-981a-06cb7715a39f  ;
62;Henrik Nielsen;henrik_nielsen84@dkmail.dk;Standard;08-03-2019;Dankort/VISA;Kvartalsvis;17-02-2025;Rejected;381e963f-e1c3-40ef-9a6b-949e6d28df95  ;
63;Mette Pedersen;mette_pedersen75@dkmail.dk;Husstand;29-05-2019;Betalingsservice;Årlig;25-04-2025;Betaling afvist;63;
64;Sofie Christensen;sofie_christensen42@dkmail.dk;Standard;30-03-2019;Betalingsservice;Årlig;16-03-2025;Aftale lukket;64;
65;Henrik Madsen;henrik_madsen39@dkmail.dk;Standard;10-04-2019;MobilePay;Kvartalsvis;13-04-2025;Failed;381e963f-e1c3-40ef-9a6b-949e6d28df95  ;
66;Pernille Nielsen;pernille_nielsen40@dkmail.dk;Standard;01-09-2019;Dankort/VISA;Månedlig;22-04-2025;Failed;e6c8b9f4-44e7-42be-8040-1fefcb0294d6  ;
67;Anders Larsen;anders_larsen92@dkmail.dk;Husstand;03-05-2019;Kontant;Kvartalsvis;08-01-2025;Ingen betaling;;
68;Sofie Christensen;sofie_christensen66@dkmail.dk;Standard;30-05-2019;Betalingsservice;Årlig;28-01-2025;Betaling afvist;68;
69;Thomas Nielsen;thomas_nielsen17@dkmail.dk;Standard;16-05-2019;Betalingsservice;Månedlig;23-02-2025;Aftale lukket;69;
70;Martin Madsen;martin_madsen90@dkmail.dk;Standard;27-12-2019;Betalingsservice;Månedlig;10-03-2025;Betaling afvist;70;
71;Martin Larsen;martin_larsen10@dkmail.dk;Nedsat;11-06-2019;Girokort;Kvartalsvis;26-02-2025;Ingen betaling;71;1. februar 2025
72;Karen Madsen;karen_madsen37@dkmail.dk;Standard;23-06-2019;MasterCard;Kvartalsvis;13-01-2025;Rejected;3b49ff01-8d2c-43c4-927e-9fdf2536fa9a  ;
73;Lene Jensen;lene_jensen54@dkmail.dk;Standard;20-06-2018;Kontant;Årlig;23-01-2025;Ingen betaling;;
74;Karen Madsen;karen_madsen98@dkmail.dk;Husstand;13-07-2018;Kontant;Månedlig;10-02-2025;Ingen betaling;;
75;Sofie Andersen;sofie_andersen35@dkmail.dk;Standard;12-08-2018;Betalingsservice;Kvartalsvis;13-01-2025;Betaling afvist;75;
76;Jens Madsen;jens_madsen60@dkmail.dk;Husstand;22-08-2018;Girokort;Månedlig;23-02-2025;Ingen betaling;76;1. februar 2025
77;Mette Larsen;mette_larsen44@dkmail.dk;Standard;26-08-2018;Dankort/VISA;Årlig;20-01-2025;Failed;5af7403f-d3ee-466f-aac2-23dbf0b3942d  ;
78;Jens Nielsen;jens_nielsen73@dkmail.dk;Standard;26-08-2018;MasterCard;Kvartalsvis;23-03-2025;Failed;4fbd2a58-91f2-44a7-b282-7ea3cbf59bc1  ;
79;Mette Christensen;mette_christensen21@dkmail.dk;Nedsat;25-08-2018;Kontant;Årlig;24-02-2025;Ingen betaling;;
80;Thomas Hansen;thomas_hansen37@dkmail.dk;Standard;25-08-2018;Kontant;Månedlig;13-03-2025;Ingen betaling;;
81;Thomas Madsen;thomas_madsen99@dkmail.dk;Standard;24-08-2018;Girokort;Årlig;21-03-2025;Ingen betaling;81;1. marts 2025
82;Karen Jensen;karen_jensen77@dkmail.dk;Standard;22-04-2020;MobilePay;Månedlig;12-03-2025;Rejected;e6c8b9f4-44e7-42be-8040-1fefcb0294d6  ;
83;Sofie Hansen;sofie_hansen46@dkmail.dk;Standard;22-08-2018;MobilePay;Kvartalsvis;21-03-2025;Failed;5af7403f-d3ee-466f-aac2-23dbf0b3942d  ;
84;Henrik Pedersen;henrik_pedersen85@dkmail.dk;Standard;09-09-2018;Dankort/VISA;Kvartalsvis;30-04-2025;Failed;fe24a6dd-99cc-476e-8589-fde6bd1dc7cb  ;
85;Karen Christensen;karen_christensen58@dkmail.dk;Standard;05-10-2018;MasterCard;Kvartalsvis;09-03-2025;Failed;c8479df1-29fc-4524-bc88-e0fbd75546dc  ;
86;Martin Andersen;martin_andersen67@dkmail.dk;Standard;17-10-2018;Dankort/VISA;Årlig;05-02-2025;Failed;d4a7f2e9-4930-4cfd-b5aa-1e6a97dc1f6d  ;
87;Sofie Larsen;sofie_larsen66@dkmail.dk;Husstand;25-10-2018;Dankort/VISA;Månedlig;06-01-2025;Failed;b7354f2e-4e11-4e63-92cc-38f69f34c184;
88;Jens Pedersen;jens_pedersen92@dkmail.dk;Husstand;30-10-2018;MobilePay;Årlig;25-02-2025;Rejected;fe24a6dd-99cc-476e-8589-fde6bd1dc7cb  ;
89;Anders Larsen;anders_larsen94@dkmail.dk;Husstand;02-11-2018;MobilePay;Månedlig;25-03-2025;Failed;d4a7f2e9-4930-4cfd-b5aa-1e6a97dc1f6d  ;
90;Mette Larsen;mette_larsen35@dkmail.dk;Standard;05-11-2018;MobilePay;Kvartalsvis;12-02-2025;Failed;b7354f2e-4e11-4e63-92cc-38f69f34c184;
91;Mette Andersen;mette_andersen75@dkmail.dk;Standard;07-11-2018;Kontant;Månedlig;18-01-2025;Ingen betaling;;
92;Lene Christensen;lene_christensen41@dkmail.dk;Standard;11-11-2018;Dankort/VISA;Månedlig;10-04-2025;Failed;8f32a9b1-d3c5-4b9e-9f7e-7b12f8348cf0  ;
93;Martin Larsen;martin_larsen52@dkmail.dk;Standard;09-11-2018;MobilePay;Månedlig;06-02-2025;Rejected;8f32a9b1-d3c5-4b9e-9f7e-7b12f8348cf0  ;
94;Henrik Hansen;henrik_hansen67@dkmail.dk;Nedsat;17-01-2019;MobilePay;Månedlig;22-01-2025;Rejected;12c4ff58-6fbe-4f13-91e4-5d4293b2ab4d  ;
95;Thomas Andersen;thomas_andersen70@dkmail.dk;Standard;22-12-2018;Kontant;Kvartalsvis;21-04-2025;Ingen betaling;;
96;Sofie Hansen;sofie_hansen12@dkmail.dk;Standard;19-12-2018;Girokort;Årlig;26-04-2025;Ingen betaling;96;1. april 2025
97;Sofie Larsen;sofie_larsen45@dkmail.dk;Standard;02-07-2019;MasterCard;Månedlig;18-02-2025;Rejected;92f51ac0-bb10-4604-9a4e-4ec6ceef71e1  ;
98;Anders Nielsen;anders_nielsen48@dkmail.dk;Standard;28-07-2019;Girokort;Månedlig;28-01-2025;Ingen betaling;98;1. januar 2025
99;Jens Jensen;jens_jensen80@dkmail.dk;Standard;03-09-2019;MasterCard;Årlig;02-02-2025;Failed;6e4f0d6e-d055-4e63-9ec9-3b57aa7f3e78  ;
100;Pernille Jensen;pernille_jensen59@dkmail.dk;Standard;30-07-2019;Girokort;Årlig;31-01-2025;Ingen betaling;100;1. januar 2025
101;Jeramey Collough;jcollough2s@sphinn.com;Nedsat;05-08-2019;Dankort/VISA;Årlig;02-04-2025;Failed;12c4ff58-6fbe-4f13-91e4-5d4293b2ab4d  ;
102;Nikolaus Hobben;nhobben2t@google.com.au;Nedsat;25-08-2019;Dankort/VISA;Årlig;28-03-2025;Rejected;a1b0c9d7-442e-43aa-9e6f-e451f1b780a3  ;
103;Gordie Kamena;gkamena2u@wix.com;Nedsat;24-08-2019;Dankort/VISA;Månedlig;01-03-2025;Rejected;f3d7e4a0-21a7-4e9c-8fce-4d8ef6b710d4  ;
104;Nichole Laity;nlaity2v@is.gd;Nedsat;21-08-2019;Dankort/VISA;Årlig;19-03-2025;Failed;0d8b7c2f-2af3-4b67-9c14-cc9a2df86521  ;
105;Roddy Jans;rjans2w@ftc.gov;Nedsat;20-08-2019;Dankort/VISA;Månedlig;08-04-2025;Rejected;d6a3f4be-98e1-4973-a812-4e6cb81643e0  ;
106;Dannie Ody;dody2x@google.com.hk;Standard;13-09-2019;Dankort/VISA;Månedlig;29-01-2025;Failed;7ac43b7e-5df4-41a5-8a3e-b71206c9b0c7  ;
107;Elga Krop;ekrop2y@blogspot.com;Standard;20-09-2019;Dankort/VISA;Årlig;08-04-2025;Failed;3b49ff01-8d2c-43c4-927e-9fdf2536fa9a  ;
108;Zsazsa Caspell;zcaspell2z@adobe.com;Standard;19-09-2022;Dankort/VISA;Kvartalsvis;23-01-2025;Rejected;4fbd2a58-91f2-44a7-b282-7ea3cbf59bc1  ;
109;Starlene Pechold;spechold30@woothemes.com;Nedsat;26-09-2019;Dankort/VISA;Kvartalsvis;26-03-2025;Failed;c8479df1-29fc-4524-bc88-e0fbd75546dc  ;
110;Augustus Oakshott;aoakshott31@cbc.ca;Standard;10-10-2019;Dankort/VISA;Månedlig;25-01-2025;Failed;92f51ac0-bb10-4604-9a4e-4ec6ceef71e1  ;
111;Raphael Commins;rcommins32@guardian.co.uk;Standard;21-10-2019;Dankort/VISA;Kvartalsvis;09-03-2025;Failed;6e4f0d6e-d055-4e63-9ec9-3b57aa7f3e78  ;
112;Rianon Meadus;rmeadus33@over-blog.com;Standard;03-11-2019;Dankort/VISA;Årlig;21-01-2025;Rejected;531bbdc1-ec77-4a15-b253-9c17f0e6bd13  ;
113;Jordanna MacAnespie;jmacanespie34@360.cn;Standard;02-11-2019;Dankort/VISA;Kvartalsvis;18-01-2025;Failed;a9b203e7-b04f-4c43-981a-06cb7715a39f  ;
114;Dael Milington;dmilington35@answers.com;Standard;05-11-2022;Dankort/VISA;Månedlig;19-04-2025;Rejected;381e963f-e1c3-40ef-9a6b-949e6d28df95  ;
115;Joey Burberry;jburberry36@youtube.com;Standard;03-10-2020;Dankort/VISA;Kvartalsvis;17-02-2025;Rejected;e6c8b9f4-44e7-42be-8040-1fefcb0294d6  ;
116;Morlee Nanni;mnanni37@typepad.com;Standard;05-10-2020;Dankort/VISA;Månedlig;22-04-2025;Failed;5af7403f-d3ee-466f-aac2-23dbf0b3942d  ;
117;Pet Lukas;plukas38@bravesites.com;Standard;23-11-2022;Dankort/VISA;Årlig;20-01-2025;Failed;fe24a6dd-99cc-476e-8589-fde6bd1dc7cb  ;
118;Lek Jailler;ljailler39@joomla.org;Standard;15-10-2020;Dankort/VISA;Kvartalsvis;30-04-2025;Failed;d4a7f2e9-4930-4cfd-b5aa-1e6a97dc1f6d  ;
119;Tess Patek;tpatek3a@hostgator.com;Husstand;17-10-2020;Dankort/VISA;Årlig;05-02-2025;Failed;b7354f2e-4e11-4e63-92cc-38f69f34c184;
120;Karoly Blount;kblount3b@apple.com;Husstand;19-10-2020;Dankort/VISA;Månedlig;06-01-2025;Failed;8f32a9b1-d3c5-4b9e-9f7e-7b12f8348cf0  ;
121;Zebadiah Finnick;zfinnick3c@eepurl.com;Standard;22-10-2020;Dankort/VISA;Månedlig;10-04-2025;Failed;12c4ff58-6fbe-4f13-91e4-5d4293b2ab4d  ;
122;Eustacia Aylwin;eaylwin3d@pagesperso-orange.fr;Standard;22-10-2020;Dankort/VISA;Årlig;02-04-2025;Rejected;a1b0c9d7-442e-43aa-9e6f-e451f1b780a3  ;
123;Adele Bails;abails3e@miibeian.gov.cn;Husstand;29-10-2020;Dankort/VISA;Årlig;28-03-2025;Rejected;f3d7e4a0-21a7-4e9c-8fce-4d8ef6b710d4  ;
124;Sinclair Spadoni;sspadoni3f@cisco.com;Husstand;11-11-2020;Dankort/VISA;Månedlig;01-03-2025;Rejected;0d8b7c2f-2af3-4b67-9c14-cc9a2df86521  ;
125;Kalie Lindsey;klindsey3g@w3.org;Standard;12-01-2019;Dankort/VISA;Årlig;19-03-2025;Rejected;d6a3f4be-98e1-4973-a812-4e6cb81643e0  ;
126;Alley Giercke;agiercke3h@baidu.com;Standard;28-12-2018;Dankort/VISA;Månedlig;08-04-2025;Failed;7ac43b7e-5df4-41a5-8a3e-b71206c9b0c7  ;
127;Saxon McCarlich;smccarlich3i@sitemeter.com;Husstand;25-12-2018;Dankort/VISA;Månedlig;29-01-2025;Failed;3b49ff01-8d2c-43c4-927e-9fdf2536fa9a  ;
128;Rip Zarfat;rzarfat3j@soup.io;Husstand;25-12-2018;Dankort/VISA;Årlig;08-04-2025;Rejected;4fbd2a58-91f2-44a7-b282-7ea3cbf59bc1  ;
129;Jim Yitzowitz;jyitzowitz3k@elpais.com;Nedsat;19-01-2019;Dankort/VISA;Kvartalsvis;23-01-2025;Rejected;c8479df1-29fc-4524-bc88-e0fbd75546dc  ;
130;Jaimie Scurry;jscurry3l@upenn.edu;Standard;10-02-2019;Dankort/VISA;Kvartalsvis;26-03-2025;Rejected;92f51ac0-bb10-4604-9a4e-4ec6ceef71e1  ;
131;Vanya Gherardini;vgherardini3m@theguardian.com;Standard;07-02-2019;Dankort/VISA;Månedlig;25-01-2025;Failed;6e4f0d6e-d055-4e63-9ec9-3b57aa7f3e78  ;
132;Adore Union;aunion3n@gov.uk;Standard;17-02-2019;Dankort/VISA;Kvartalsvis;09-03-2025;Rejected;531bbdc1-ec77-4a15-b253-9c17f0e6bd13  ;
133;Alex Huetson;ahuetson3o@earthlink.net;Standard;14-02-2019;Dankort/VISA;Årlig;21-01-2025;Failed;a9b203e7-b04f-4c43-981a-06cb7715a39f  ;
134;Bentlee Beacock;bbeacock3p@sphinn.com;Nedsat;19-02-2019;Dankort/VISA;Kvartalsvis;18-01-2025;Failed;381e963f-e1c3-40ef-9a6b-949e6d28df95  ;
135;Penni Benning;pbenning3q@posterous.com;Nedsat;18-02-2019;Dankort/VISA;Månedlig;19-04-2025;Rejected;e6c8b9f4-44e7-42be-8040-1fefcb0294d6  ;
136;Bruno Gosker;bgosker3r@yahoo.co.jp;Husstand;04-10-2019;Dankort/VISA;Kvartalsvis;17-02-2025;Rejected;5af7403f-d3ee-466f-aac2-23dbf0b3942d  ;
137;Starr Grayshan;sgrayshan3s@china.com.cn;Standard;04-01-2024;Dankort/VISA;Månedlig;22-04-2025;Failed;fe24a6dd-99cc-476e-8589-fde6bd1dc7cb  ;
138;Vikky China;vchina3t@storify.com;Standard;02-01-2018;Dankort/VISA;Årlig;20-01-2025;Failed;d4a7f2e9-4930-4cfd-b5aa-1e6a97dc1f6d  ;
139;Devondra Halward;dhalward3u@facebook.com;Standard;14-04-2019;Dankort/VISA;Kvartalsvis;30-04-2025;Failed;b7354f2e-4e11-4e63-92cc-38f69f34c184;
140;Tris Kupka;tkupka3v@uol.com.br;Standard;02-11-2019;Dankort/VISA;Årlig;05-02-2025;Rejected;8f32a9b1-d3c5-4b9e-9f7e-7b12f8348cf0  ;
141;Karie O'Reagan;koreagan3w@nymag.com;Nedsat;02-11-2019;Dankort/VISA;Månedlig;06-01-2025;Rejected;12c4ff58-6fbe-4f13-91e4-5d4293b2ab4d  ;
142;Honor Mounce;hmounce3x@indiegogo.com;Husstand;08-11-2019;Dankort/VISA;Månedlig;10-04-2025;Rejected;a1b0c9d7-442e-43aa-9e6f-e451f1b780a3  ;
143;Blake Suter;bsuter3y@hp.com;Standard;16-11-2019;Dankort/VISA;Årlig;02-04-2025;Failed;f3d7e4a0-21a7-4e9c-8fce-4d8ef6b710d4  ;
144;Kendre Sloat;ksloat3z@furl.net;Nedsat;10-11-2019;Dankort/VISA;Årlig;28-03-2025;Rejected;0d8b7c2f-2af3-4b67-9c14-cc9a2df86521  ;
145;Lay Baber;lbaber40@uol.com.br;Standard;05-11-2019;Dankort/VISA;Månedlig;01-03-2025;Rejected;d6a3f4be-98e1-4973-a812-4e6cb81643e0  ;
146;Rip Ribbon;rribbon41@cnn.com;Standard;30-12-2019;Dankort/VISA;Årlig;19-03-2025;Failed;7ac43b7e-5df4-41a5-8a3e-b71206c9b0c7  ;
147;Arnoldo Canedo;acanedo42@ifeng.com;Husstand;14-12-2019;Dankort/VISA;Månedlig;08-04-2025;Rejected;3b49ff01-8d2c-43c4-927e-9fdf2536fa9a  ;
148;Kermy Zohrer;kzohrer43@wiley.com;Husstand;29-12-2019;Dankort/VISA;Månedlig;29-01-2025;Failed;4fbd2a58-91f2-44a7-b282-7ea3cbf59bc1  ;
149;Scarlett Divina;sdivina44@ifeng.com;Nedsat;29-12-2019;Dankort/VISA;Årlig;08-04-2025;Failed;c8479df1-29fc-4524-bc88-e0fbd75546dc  ;
150;Karlis Boultwood;kboultwood45@blog.com;Nedsat;05-01-2020;Dankort/VISA;Kvartalsvis;23-01-2025;Failed;92f51ac0-bb10-4604-9a4e-4ec6ceef71e1  ;
151;Renae Castellan;rcastellan46@sitemeter.com;Standard;19-01-2020;Dankort/VISA;Kvartalsvis;26-03-2025;Rejected;6e4f0d6e-d055-4e63-9ec9-3b57aa7f3e78  ;
152;Virgie Coleshill;vcoleshill47@ehow.com;Nedsat;17-01-2020;Dankort/VISA;Månedlig;25-01-2025;Failed;531bbdc1-ec77-4a15-b253-9c17f0e6bd13  ;
153;Jennette Medling;jmedling48@yale.edu;Standard;03-02-2020;Dankort/VISA;Kvartalsvis;09-03-2025;Failed;a9b203e7-b04f-4c43-981a-06cb7715a39f  ;
154;Blanca Coddington;bcoddington49@princeton.edu;Standard;22-02-2020;Dankort/VISA;Årlig;21-01-2025;Rejected;381e963f-e1c3-40ef-9a6b-949e6d28df95  ;
155;Mile Vardon;mvardon4a@123-reg.co.uk;Standard;22-02-2020;Dankort/VISA;Kvartalsvis;18-01-2025;Rejected;e6c8b9f4-44e7-42be-8040-1fefcb0294d6  ;
